player,player_disp,game,season,team,toi,g_60,a_60,pa_60,sa_60,pts_60,ipp,shots_60,sh_per,ixg_60,icf_60,iff_60,iscf_60,ihdcf_60,rbds,pim_60,pen_60,min_60,maj_60,misc_60,pen_drawn_60,give_60,take_60,hits_60,hits_taken_60,blocks_60,fowin_60,foloss_60,faceoff_per
austin.watson,A. Watson,2015-10-13 NSH at N.J,1516,NSH,10.91666667,0,0,0,0,0,-,5.5,0,0.72,10.99,10.99,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
austin.watson,A. Watson,2015-10-15 NSH at NYI,1516,NSH,8.433333333,7.11,0,0,0,7.11,100,14.23,355.73,3.94,21.34,21.34,14.23,14.23,7.11,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0
austin.watson,A. Watson,2015-10-17 NSH at OTT,1516,NSH,9.45,0,0,0,0,0,-,6.35,0,0.1,12.7,6.35,6.35,0,0,0,0,0,0,0,0,0,6.35,19.05,0,6.35,0,0,0
austin.watson,A. Watson,2015-10-22 ANA at NSH,1516,NSH,12.01666667,0,4.99,4.99,0,4.99,100,4.99,0,0.72,9.99,9.99,4.99,4.99,0,0,0,0,0,0,0,0,0,14.98,9.99,4.99,4.99,4.99,249.65
austin.watson,A. Watson,2015-10-24 PIT at NSH,1516,NSH,6.916666667,0,0,0,0,0,-,0,0,0,0,0,0,0,0,43.37,8.67,0,8.67,0,0,0,8.67,0,8.67,0,0,0,0
austin.watson,A. Watson,2015-10-28 NSH at S.J,1516,NSH,8.966666667,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,6.69,0,6.69,20.07,0,0,6.69,0
austin.watson,A. Watson,2015-10-31 NSH at L.A,1516,NSH,9.666666667,0,0,0,0,0,-,6.21,0,0.19,6.21,6.21,0,0,0,0,0,0,0,0,0,0,0,12.41,6.21,12.41,0,0,0
austin.watson,A. Watson,2015-11-01 NSH at ANA,1516,NSH,6.266666667,0,0,0,0,0,-,9.57,0,0.63,19.15,9.57,9.57,9.57,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0
austin.watson,A. Watson,2015-11-05 NSH at MIN,1516,NSH,10.08333333,0,0,0,0,0,-,11.9,0,0.34,11.9,11.9,0,0,0,0,0,0,0,0,0,5.95,0,5.95,0,11.9,0,0,0
austin.watson,A. Watson,2015-11-07 STL at NSH,1516,NSH,8.883333333,0,0,0,0,0,-,6.75,0,0.1,6.75,6.75,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,0,0,0
austin.watson,A. Watson,2015-11-10 OTT at NSH,1516,NSH,5.916666667,10.14,20.28,10.14,10.14,30.42,75,10.14,1014.08,1.02,20.28,10.14,10.14,10.14,0,0,0,0,0,0,0,0,0,20.28,10.14,20.28,0,0,0
austin.watson,A. Watson,2015-11-12 TOR at NSH,1516,NSH,10.18333333,0,0,0,0,0,-,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,5.89,0,0,5.89,0,589.2
